19,"Féculent","Pain, Baguette aux céréales",286,"28.2","8.95","49.1","3.9","4.5","39.6","7.7","0.36","0.79","1.47","0.76","1.17","0.3",0,0,"0.5","1.53","39.9","0.21","1.64","58.4",148,249,610,"1.04",2,50,"0.5","0.4",0,0,"0.5","0.1","0.06","0.05","0.39","0.05",28,"0.78"
20,"Féculent","Pain pour hamburger",293,"30.9","9.07","49.7","5.35","5.88","42.7","3.3","0.88","1.53","1.11","1.42","0.94","0.17","0.0016","0.0016",0,"1.14",89,"0.13","0.85",27,110,140,453,"0.84",0,10,0,"0.22","2.81",0,"0.5","0.19","0.03",1,"0.37","0.097","13.5","0.036"
21,"Féculent","Tortilla à garnir",327,26,"8.34","52.1","8.2","1.55","50.6","3.85","3.85","2.67","1.32","2.67","1.12","0.2","0.01","0.01","0.79","1.25",45,"0.1","0.76",19,360,150,650,"0.57",21,5,0,"0.08","4.78",0,0,"0.11","0.01","0.17","0.35","0.027","39.4",0
22,"Féculent","Biscotte classique",418,"0.3","9.24","77.2","6.53","6.55","66.2","4.86","2.85","2.5","1.11","2.09","0.96","0.096",0,"0.00048",0,"1.5","23.4","0.14","1.37","43.2",153,250,589,"0.79",53,0,"0.35","0.77",0,0,0,"0.26","0.12","3.05",0,"0.23",128,0
23,"Féculent","Biscotte multicéréale",398,"5.1","11.8","66.8","7.22","5.4","61.3","7.08","2.51","2.21","1.9","2.21","1.68","0.047",0,"0.01",0,"1.51","39.5",1,"2.3",57,233,233,597,"1.5",0,50,0,"0.66",0,0,0,"0.16","0.12","1.6","0.58","0.16",29,0
24,"Féculent","Biscotte complète ou riche en fibres",393,"4.2","11.7",67,"6.17","4.32","60.8","8.84","2.61","1.11","0.73","1.11","0.68","0.048",0,"0.000075",0,"1.25","40.6",1,"3.1",115,260,350,492,"1.9",0,50,0,"0.68",0,0,0,"0.15","0.13","1.9","0.74","0.14",26,0
25,"Féculent","Crackers de table au froment",450,0,"7.75",75,12,"0.4","70.8","4.1","4.5",0,0,0,0,0,0,0,0,"1.5",0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Féculent","Galette de riz soufflé complet",385,"4.8","7.32","80.5",3,"0.73","71.7","2.9","0.54","1.17","1.17","1.07","1.11","0.04","0.01","0.01",0,"0.18",12,"0.23","1.1",160,410,300,"72.6","1.8",0,0,0,"1.01","0.8",0,0,"0.088","0.02","1.26","0.74","0.18","41.5",0
27,"Féculent","Pain grillé brioché, tranché, préemballé",419,"4.45","10.6","70.8","9.19",11,59,"3.58","4.18","1.44","0.98",0,0,0,0,0,0,"1.03",0,0,0,0,120,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Féculent","Galette de sarrasin, nature, préemballée",156,59,"5.95","28.2","1.51","1.08","23.3","3.08","0.33","0.34","0.42","0.34","0.39","0.023",0,0,"0.7","1.32","21.6","0.3","1.8","86.9","62.5",188,520,"1.6",2,0,"0.5","0.28",0,0,0,"0.25","0.046","2.1","0.6","0.25","34.9","0.13"
29,"Féculent","Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux",426,"5.33","6.7",73,"11.9","31.4",38,"1.6","7.15","1.07","0.59",0,0,0,0,0,0,"0.88",752,0,"9.65",30,150,320,350,"0.97",0,0,0,0,0,0,0,"0.99","1.11","12.4","4.2","1.4",138,"0.69"
30,"Féculent","Barre céréalière aux fruits",378,"8.68","5.49","73.9","7.07","29.6","37.1","3.8","3.44","2.32",1,"2.32","0.89","0.11","0.000041","0.0036",0,"0.63",77,"0.38","2.18",58,166,276,249,"1.05",0,0,0,"2.5",0,0,"0.3","0.25","0.24","2.36","0.52","0.6","63.5","0.14"
31,"Féculent","Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux",392,"2.83","7.41","78.3","4.28","33.1","45.2","5.24","1.96","1.45","0.68",0,0,0,0,0,0,"0.52",340,"0.2","8.23","30.6",113,402,205,"0.7",1320,0,"1.7","0.11","0.6",0,"59.6","0.98","1.21","13.6","4.86","1.31",165,"1.72"
32,"Féculent","Riz soufflé chocolaté non enrichi en vitamines et minéraux",388,"2.8",6,"84.1","2.19","32.4","45.7","3.09","0.94","0.67","0.18","0.67","0.18","0.01","0.01","0.01","1.41","0.93",26,"0.4","3.3",61,140,370,371,"1.2",21,5,0,"0.36","0.8",0,"0.5","0.058","0.06","2.23","0.63","0.074","27.8",0
33,"Féculent","Céréales pour petit déjeuner fourrées au chocolat ou chocolat0noisettes",445,0,"7.45","69.9","13.9","32.1",0,"5.29","3.64","3.66","6.01","3.66","5.99","0.026",0,"0.01",0,"0.48",0,0,"7.54",0,0,0,195,0,0,0,0,10,0,0,47,"0.98","1.26","13.6","5.4","1.32",166,"1.86"
34,"Féculent","Muesli croustillant aux fruits et/ou fruits secs, graines non enrichi en vitamines et minéraux",437,"4.3","8.86","59.8","16.8","20.8","35.4","8.64","6.64","7.17","2.47","6.98","2.41","0.06","0.01","0.01","0.9","0.35",191,"0.32","5.2","95.7",271,390,136,"1.8",21,"10.5",0,"2.33","5.32",0,"33.5","0.54","0.6","8.27","2.72","0.63",105,"2.08"
35,"Féculent","Muesli floconneux ou de type traditionnel",382,0,"10.6","68.5","4.83","11.9",0,"11.4","0.83",0,0,0,0,0,0,0,0,"0.15",0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"Féculent","Petits pois, appertisés, égouttés","79.1","76.4","4.85","10.6","0.7","4.29","4.04","5.75","0.11","0.066","0.41","0.061","0.34","0.07",0,0,"0.5","0.64","20.6","0.079","1.29","16.3","73.1","71.5",261,"0.42",0,514,0,"0.21","53.4",0,"7.6","0.12","0.059","0.89","0.2","0.053",40,0
37,"Féculent","Haricot blanc, cuit",116,"65.4","9.08","15.9","0.35","0.34","15.6","6.3","0.091","0.031","0.15",0,0,0,0,0,0,"0.015","55.2","0.26","1.7","60.7",113,310,6,"0.93",0,0,0,"0.94","3.5",0,0,"0.12","0.046","0.14","0.23","0.093",81,0
38,"Féculent","Lentille, cuite",106,"71.2","8.6","14.1","0.38","1.1",0,"5.99","0.053","0.064","0.18",0,0,0,0,0,"0.42","0.0073","26.2","0.24","1.44","35.6",180,222,2,"0.98",0,5,0,"0.11","1.7",0,"1.5","0.17","0.073","1.06","0.64","0.18",181,0
39,"Féculent","Pomme de terre, rôtie/cuite au four","88.1","73.7","2.5","18.1","0.13","0.85","17.3","2.26","0.035","0.003","0.058",0,0,0,0,0,0,"0.025",15,"0.12","1.08",28,70,535,10,"0.36",0,6,0,"0.04",2,0,"9.6","0.064","0.048","1.41","0.38","0.31",28,0
40,"Fruits","Abricot, dénoyauté, cru","48.5","86.1","1.14","8.53","0.35","7.84",0,"1.8","0.024","0.15","0.068","0.13","0.059",0,0,0,"0.033","0.0025","16.1","0.082","0.19","9.94","22.5",229,"1.11","0.14",0,1090,0,"0.89","3.3",0,10,"0.03","0.04","0.6","0.24","0.054",9,0
41,"Fruits","Ananas, pulpe, cru","54.3","85.5","0.52","11.3","0.24","10.1",0,"1.42","0.009","0.013","0.04",0,0,0,0,0,0,"0.0024","21.5","0.067","0.25","20.3",11,142,"0.97","0.073",0,35,0,"0.06","0.7",0,"36.4","0.08","0.026","0.35","0.19","0.1","15.1",0
42,"Fruits","Banane, pulpe, crue","72.3","80.2","0.98","15.2","0.25","14.8","0.36","1.9","0.087","0.029","0.077","0.019","0.036","0.033",0,0,"0.065","0.0038","4.12","0.082","0.26","34.9","24.7",360,"1.11","0.15",0,26,0,"0.33","0.4",0,"2.07","0.035","0.049","0.68","0.3","0.38",29,0
43,"Fruits","Cerise, dénoyautée, crue","63.7","82.8","1.16","12.7","0.25","12.7",0,"1.7","0.055","0.07","0.077","0.07","0.039","0.038",0,0,"0.01","0.005",15,"0.088","0.17","11.2","24.5",200,2,"0.054",0,38,0,"0.14","2.1",0,"8.5","0.026","0.032","0.18","0.23","0.047",6,0
44,"Fruits","Fraise, crue","34.9","90.1","0.65","6.14","0.18","4.73","0.04","1.5","0.018","0.025","0.1","0.025","0.055","0.046",0,0,"0.07","0.052","13.1","0.026","0.18","14.1","23.4",171,"1.83","0.11",0,7,0,"0.37","11.1",0,"67.4","0.023","0.02","0.49","0.23","0.047","70.5",0
45,"Fruits","Framboise, crue","46.3","84.9","1.28","4.91","0.36","4.91",0,"5.99","0.012","0.04","0.23",0,0,0,0,0,"0.02","0.0025",25,"0.09","0.69",22,29,151,1,"0.42",0,12,0,"0.53","7.8",0,"26.2","0.032","0.038","0.6","0.33","0.055",21,0
46,"Fruits","Kiwi, pulpe et graines, cru","58.5","83.6","1.2","8.44","0.95","7.89",0,"3.5","0.1","0.047","0.29","0.047","0.068","0.22",0,0,"0.0033","0.0086","27.5","0.12","0.17","14.3","33.4",297,"1.99","0.082",0,52,0,"1.46","40.3",0,"92.7","0.017","0.025","0.34","0.18","0.092","33.5",0
47,"Fruits","Melon cantaloup par ex,: Charentais, de Cavaillon pulpe, cru","41.9","88.7","0.73","8.79","0.2","6.95","0.03","0.93","0.047","0.013","0.068","0.013","0.022","0.032",0,0,"0.017","0.022","12.3","0.043","0.16","18.9","23.6",335,9,"0.17",0,2020,0,"0.05","2.5",0,"28.8","0.038","0.022","0.7","0.14","0.068","23.3",0
48,"Fruits","Nectarine ou brugnon, pulpe et peau, crue",0,"86.8","1.16","8.9","0.31","8.05","0.07","1.81","0.025","0.088","0.11",0,0,0,0,0,0,"0.0027","3.38","0.078","0.28","8.31","26.7",201,"1.09","0.091",0,150,0,"0.77","2.2",0,"5.4","0.034","0.027","1.13","0.19","0.025",5,0
49,"Fruits","Orange, pulpe, crue","46.4",87,"1.06","8.04","0.28","8.04",0,"2.08","0.067","0.075","0.13","0.075","0.093","0.037",0,0,"0.13","0.0031","29.7","0.035","0.089","12.4","18.1",151,"1.25","0.066",0,71,0,"0.37","0.1",0,57,"0.087","0.036","0.29","0.22","0.071","38.1",0
50,"Fruits","Feuilleté ou Friand jambon fromage","34.7","90.9","0.62","7.33","0.13","6.7",0,"0.43","0.02","0.025","0.041","0.011","0.013","0.019",0,0,0,"0.0073","1.28","0.028","0.27","12.6","15.4",129,"0.29","0.016",0,303,0,"0.05","0.1",0,"9.7","0.027","0.021","0.18","0.26","0.045",3,0
51,"Fruits","Pomme, pulpe et peau, crue",0,"85.4","0.25","11.6","0.25","10.1","0.05","1.4","0.052","0.01","0.15","0.01","0.062","0.0067",0,0,0,"0.0037","5.34","0.041","0.099","6.47","14.4",119,"1.5","0.031",0,"21.4",0,"0.37","2.39",0,"6.25","0.016","0.019","0.091","0.079","0.048",6,0
52,"Fruits","Pomelo dit Pamplemousse, pulpe, cru","35.1","90.1","0.63","5.92","0.2","5.92",0,"1.33","0.045","0.034","0.067","0.034","0.052","0.015",0,0,0,"0.0041","23.3","0.036","0.051","11.7","13.8",144,"1.63","0.063",0,552,0,"0.22",0,0,"40.9","0.043","0.028","0.28","0.28","0.044","24.5",0
53,"Fruits","Clémentine, pulpe, crue",0,"86.6","0.8","11.9","0.19","9.18",0,"1.7",0,0,0,0,0,0,0,0,"0.83","0.016","25.2","0.035","0.09","12.4",23,154,"6.46","0.059",0,58,0,"0.2",0,0,"18.7","0.09","0.05","0.15","0.2","0.05",10,0
54,"Fruits","Mandarine, pulpe, crue",0,"86.3","0.72","9.7","0.31","9.7",0,"1.5","0.037","0.057","0.062","0.047","0.043","0.016",0,0,0,"0.01","32.8","0.049","0.16","10.5","19.6",137,4,"0.083",0,155,0,"0.38",0,0,"26.7","0.082","0.036","0.29","0.21","0.074","18.5",0
55,"Fruits","Prune, crue",0,"85.9","0.66","9.41","0.29","9.29",0,"1.96","0.038","0.076","0.1","0.017","0.07","0.035",0,0,0,"0.0075","7.29","0.06","0.16",6,"17.8",149,3,"0.096",0,190,0,"0.33","6.4",0,"7.25","0.024","0.026","0.41","0.14","0.037",4,0
56,"Fruits","Poire, pulpe, crue",0,"84.6","0.3","10.4","0.1","10.4",0,"2.47",0,0,0,0,0,0,0,0,"0.02","0.0075",11,"0.06","0.2",7,13,150,3,"0.1",0,0,0,0,0,0,6,"0.2","0.03","0.2","0.07","0.02",2,0
57,"Fruits","Raisin, cru",0,"81.2","0.72","14.4","0.16","14.2",0,"0.75","0.054","0.007","0.048",0,0,0,0,0,0,"0.005",10,"0.13","0.36",7,20,191,2,"0.07",0,39,0,"0.19","14.6",0,"3.2","0.069","0.07","0.19","0.05","0.086",2,0
58,"Fruits","Salade de fruits, crue",0,78,"0.61","14.8","0.24","14.2",0,"1.36","0.031","0.014","0.061",0,0,0,0,0,"0.03","0.0037","14.5","0.071","0.29","16.4","16.7",203,"0.81","0.094",0,35,0,"0.37",0,0,"22.3","0.043","0.032","0.32","0.15","0.17","20.2",0
59,"Fruits","Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté",0,"83.6","0.2","14.5","0.09","12.3","0.58","1.08","0.009","0.012","0.028",0,0,0,0,0,0,"0.0026","8.18","0.055","0.13","4.37","7.74","61.1","1.02","0.05",0,"64.1",0,0,"0.63",0,"6.1","0.016","0.01","0.1","0.033","0.01","9.96",0
